# Die Auslenkung des rechteckigen Stabes mit eingerechnetem Offset in mm
#
# L ist die Länge des Stabes L=524mm
#
# x	delta(x)# c_lin = Lx**2-x**3/3	(10^6)
40	0.05	#0.817067	
60	0.11	#1.8144	
80	0.19	#3.18293	
100	0.29	#4.90667	
120	0.40	#6.9696	
140	0.52	#9.35573	
160	0.68	#12.0491	
180	0.81	#15.0336	
200	0.99	#18.2933
220	1.17	#21.8123
240	1.35	#25.5744	
260	1.54	#29.5637
280	1.86	#33.7643
300	1.97	#38.16	
320	2.20	#42.7349
340	2.42	#47.4731
360	2.67	#52.3584	
380	2.89	#57.3749	
400	3.15	#62.5067
420	3.42	#67.7376
