# Die Auslenkung des rechteckigen Stabes mit eingerechnetem Offset in mm
# x	delta(x)   c_lin = Lx**2-x**3/3
40	0.05         765866.67
60	0.11        1699200.00
80	0.19        2978133.33
100	0.29        4586666.67
120	0.40        6508800.00
140	0.52        8728533.33
160	0.68       11229866.00
180	0.81       13996800.00
200	0.99       17013333.33
220	1.17       20263466.67
240	1.35       23731200.00
260	1.54       27400533.33
280	1.86       31258466.67
300	1.97       35280000.00
320	2.20       39458133.33
340	2.42       43773866.67
360	2.67       48600000.00
380	2.89       53187333.33
400	3.15       57866666.67
420	3.42       62622000.00
