# Versuch 354 "Gedämpfte und erzwungene Schwingungen"
#
# Messwerte zur Bestimmung der Frequenzabhängigkeit der
# Kondensatorspannung. Die Spannungsamplitude U_0 des Generators
# wurde für die Frequenzen 22-30 kHz explizit gemessen und für
# die restlichen Frequenzen als 30.0 V angenommen.
#
# f [Hz]    U_C [V]     U_0 [V]     
10.0e3   48	44.0
11.0e3	 52	44.0
12.0e3	 54	44.0
13.0e3	 58	44.0
14.0e3	 60	44.0
15.0e3	 64	44.0
16.0e3	 66	44.0
17.0e3	 72	44.0
18.0e3	 78	44.0
19.0e3	 84	44.0
20.0e3	 92	43.2
20.5e3   96	43.2
21.0e3  102	43.2
21.5e3  108	43.2
22.0e3  114	43.2
22.5e3  120	42.4
23.0e3  128	42.4
23.5e3  136	42.4
24.0e3	142	42.4
24.5e3  150	41.6
25.0e3	156	41.6
25.5e3  158	41.6
26.0e3	160	40.8
26.5e3  158	40.8
27.0e3	152	40.8
27.5e3  144	40.8
28.0e3  136	40.8
28.5e3  128	41.6
29.0e3  118	41.6
29.5e3  108	41.6
30.0e3  100	41.6
30.5e3   94	41.6
31.0e3   88	42.4
32.0e3   76	43.2
33.0e3   66	43.2
34.0e3   56	43.2
35.0e3	 49	43.2
36.0e3	 44.8	43.2
37.0e3	 40.8	43.2
38.0e3	 36.8	43.2
39.0e3	 33.6	43.2
40.0e3	 30.8	43.2
41.0e3	 28.4	43.2
42.0e3	 26.4	43.2
43.0e3	 24.4	43.2
44.0e3	 22.8	43.2
45.0e3	 21.6	43.2
46.0e3	 20.0	43.2
47.0e3	 18.8	43.2
48.0e3	 18.0	43.2
49.0e3	 16.8	43.2
50.0e3	 16.0	43.2
