#####Gerätedaten

L=16.78 +- 0.09 mH
C=2.066 +- 0.006 nF
R_1=67.2 +- 0.2 Ohm
R_2=682 +- 1 Ohm

#######aperiodischer Grenzfall

R_a=4500 Ohm

######Frequenzabhängigkeit der Kondensatorspannung

f /kHz	U_c /V  U_0 /V	delta_t / s*10⁻⁶

10.0 	 48.0	44.0	2.0
11.0 	 52.0	44.0	2.0
12.0 	 54.0	44.0	2.0
13.0	 58.0	44.0	2.4
14.0	 60.0	44.0    2.4
15.0	 64.0	44.0    2.8
16.0	 66.0	44.0	2.8	
17.0	 72.0	44.0    2.8	
18.0	 78.0	44.0	3.2
19.0	 84.0	44.0	3.2
20.0	 92.0	43.2	3.6
20.5	 96.0	43.2	4.0
21.0	102.0	43.2	4.0
21.5	108.0	43.2	4.2
22.0	114.0	43.2	4.6
22.5	120.0	42.4	4.8
23.0	128.0	42.4	5.4
23.5	136.0	42.4	5.4
24.0	142.0	42.4	6.0
24.5	150.0	41.6	6.4
25.0	156.0	41.6	7.6
25.5	158.0	41.6	8.2
26.0	160.0	40.8	9.2
26.5	158.0	40.8	9.6
27.0	152.0	40.8	10.4
27.5	144.0	40.8	11.2
28.0	136.0	40.8	11.6
28.5	128.0	41.6	11.8
29.0	118.0	41.6	12.4
29.5	108.0	41.6	12.2
30.0	100.0	41.6	12.8
30.5	 94.0	41.6	13.0
31.0	 88.0	42.4	12.4
32.0	 76.0	43.2	12.6
33.0	 66.0	43.2	12.4
34.0	 56.0	43.2	12.6
35.0	 49.6	43.2	12.2
36.0	 44.8	43.2	11.8
37.0 	 40.8	43.2	11.6
38.0	 36.8	43.2	12.0
39.0	 33.6	43.2	11.6
40.0	 30.8	43.2	11.4
41.0	 28.4	43.2	11.4
42.0	 26.4	43.2	11.2
43.0	 24.4	43.2	11.0
44.0	 22.8	43.2	10.8
45.0	 21.6	43.2 	10.4
46.0	 20.0	43.2	10.2
47.0	 18.8	43.2	10.2
48.0	 18.0	43.2	9.6
49.0	 16.8	43.2	9.6
50.0 	 16.0	43.2	9.6
