# Versuch 354 "Gedämpfte und erzwungene Schwingungen"
#
# Messwerte zur Bestimmung der Frequenzabhängigkeit der
# Phasenverschiebung zwischen Kondensator- und Generatorspannung.
#
# f [Hz]	delta_t [µs]
10.0e3       2.0
11.0e3       2.0
12.0e3       2.0
13.0e3       2.4
14.0e3       2.40
15.0e3       2.8
16.0e3       2.8
17.0e3       2.8
18.0e3       3.20
19.0e3       3.20
20.0e3       3.6
20.5e3       4.0
21.0e3       4.0
21.5e3       4.2
22.0e3       4.6
22.5e3       4.8
23.0e3       5.4
23.5e3       5.4
24.0e3       6.0
24.5e3       6.4
25.0e3       7.6
25.5e3      8.2
26.0e3      9.2
26.5e3      9.6
27.0e3      10.4
27.5e3      11.2
28.0e3      11.6
28.5e3      11.8
29.0e3      12.4
29.5e3      12.2
30.0e3      12.8
30.5e3	    13.0
31.0e3      12.4
32.0e3      12.6
33.0e3      12.4
34.0e3      12.6
35.0e3      12.2
36.0e3      11.8
37.0e3      11.6
38.0e3      12.0
39.0e3      11.60
40.0e3      11.40
41.0e3      11.40
42.0e3      11.20
43.0e3      11.0
44.0e3      10.80
45.0e3      10.40
46.0e3      10.20
47.0e3      10.2
48.0e3       9.60
49.0e3       9.60
50.0e3       9.6
