# Nr    U    v_auf    dv_auf    v_ab    dv_ab    v_0    T    OK
1    200    0.0000111615276793    0.0000002982092832    0.0000351289645738    0.0000013434470883    0.0000133547008547    300.15    1
2    200    0.0000769426279416    0.0000194021076165    0.0001119066752274    0.0000213990735267    0.0000086956521739    300.15    0
3    200    0.0000715216945085    0.0000009469526017    0.0000915669148582    0.0000027313298067    0.0000085895894176    300.15    1
4    200    0.0000391287624215    0.0000014263013540    0.0000659604166007    0.0000016584232964    0.0000136836343733    300.15    1
5    200    0.0000185311552815    0.0000019796481610    0.0000416740995624    0.0000028894908070    0.0000097599063049    300.15    1
6    225    0.0000391344440714    0.0000015224108876    0.0000579880036337    0.0000014547937548    0.0000077112893276    301.15    1
7    225    0.0000616511774019    0.0000051453687165    0.0000778220521152    0.0000019865976173    0.0000091091273456    301.15    1
8    225    0.0000543337984355    0.0000003919195958    0.0000624745317409    0.0000018326245084    0.0000073529411765    301.15    1
9    225    0.0000573690452416    0.0000014560279701    0.0000841764652265    0.0000034791587520    0.0000075097626915    301.15    0
10    225    0.0000421872927828    0.0000003260653374    0.0000607975806038    0.0000054012849678    0.0000079428117554    301.15    1
11    250    0.0000525665487302    0.0000004794441290    0.0000684054657852    0.0000073848133612    0.0000082877507045    301.15    1
12    250    0.0000411286491275    0.0000006636907741    0.0000542347253836    0.0000003614368820    0.0000079630514413    301.15    1
13    250    0.0000745511125408    0.0000041256824966    0.0000879004966219    0.0000010841239462    0.0000096899224806    301.15    1
14    250    0.0000136576139185    0.0000000312738935    0.0000354529670993    0.0000033771801078    0.0000096899224806    301.15    1
15    250    0.0000367803064301    0.0000013135391911    0.0000599312397720    0.0000041929156496    0.0000079352483733    301.15    1
16    275    0.0000370906485668    0.0000020477182790    0.0000464960904169    0.0000009956807868    0.0000096135358585    301.15    1
17    275    0.0000593230180784    0.0000005712191415    0.0000834459088556    0.0000009073449370    0.0000228937728938    301.15    0
18    275    0.0000415565011430    0.0000005889318506    0.0000643981448093    0.0000063600987031    0.0000096135358585    301.15    1
19    275    0.0000320014409892    0.0000029915720817    0.0000405876944449    0.0000031941257840    0.0000083682008368    301.15    1
20    275    0.0002414891395155    0.0000116549260054    0.0002922088462937    0.0000254980778645    0.0000140646976090    301.15    0
21    300    0.0000695235588643    0.0000012707652655    0.0000823492285976    0.0000016557822742    0.0000095347063310    301.15    1
22    300    0.0000565220968779    0.0000025602406449    0.0001183766529771    0.0000031633589644    0.0000116577290744    301.15    0
23    300    0.0001127625810454    0.0000019244803933    0.0001170949672918    0.0000073440826408    0.0000106609808102    301.15    0
24    300    0.0000644444359684    0.0000091410922206    0.0000930148292162    0.0000068937861668    0.0000088841506752    301.15    0
25    300    0.0000569367582316    0.0000016612067748    0.0001155059768148    0.0000079934417867    0.0000101646676154    301.15    0
